variant,key_pattern,depth,samples,clock_overhead_ns,p50_ns,p99_ns,mean_ns
branchy,predictable,16,10000384,6,4.452,5.944,4.563
branchy,random,16,10000384,6,17.624,19.858,17.734
branchless,predictable,16,10000384,6,3.499,7.077,4.160
branchless,random,16,10000384,6,3.495,6.167,3.611
std,predictable,16,10000384,6,3.118,3.450,3.133
std,random,16,10000384,6,3.118,3.456,3.147
branchy,predictable,64,10000384,6,5.827,9.171,6.000
branchy,random,64,10000384,6,25.921,34.718,26.751
branchless,predictable,64,10000384,6,5.128,6.183,5.179
branchless,random,64,10000384,6,5.128,8.913,5.261
std,predictable,64,10000384,6,4.780,6.491,4.739
std,random,64,10000384,6,4.507,5.034,4.540
branchy,predictable,256,10000384,6,7.019,8.163,7.066
branchy,random,256,10000384,6,36.093,40.499,36.304
branchless,predictable,256,10000384,6,7.038,8.538,7.127
branchless,random,256,10000384,6,7.030,12.569,7.254
std,predictable,256,10000384,6,6.085,12.608,6.976
std,random,256,10000384,6,6.077,11.179,6.608
branchy,predictable,1024,10000384,6,25.937,33.499,26.495
branchy,random,1024,10000384,6,46.593,54.718,47.046
branchless,predictable,1024,10000384,6,8.983,14.319,9.314
branchless,random,1024,10000384,6,8.968,10.046,9.029
std,predictable,1024,10000384,6,7.882,11.718,8.011
std,random,1024,10000384,6,7.882,9.241,7.961
branchy,predictable,4096,10000384,6,31.374,36.093,31.673
branchy,random,4096,10000384,6,55.374,69.437,56.116
branchless,predictable,4096,10000384,6,11.233,14.202,11.416
branchless,random,4096,10000384,6,11.187,12.405,11.246
std,predictable,4096,10000384,6,9.812,11.882,9.948
std,random,4096,10000384,6,9.733,11.069,9.827
branchy,predictable,16384,10000384,6,34.249,44.187,34.829
branchy,random,16384,10000384,6,70.124,80.374,70.796
branchless,predictable,16384,10000384,6,13.327,17.812,13.645
branchless,random,16384,10000384,6,17.265,25.780,18.014
std,predictable,16384,10000384,6,12.272,15.413,12.458
std,random,16384,10000384,6,16.483,21.343,16.926
