impl,depth,footprint_bytes,cache_level_crossed,samples,clock_overhead_ns,p50_ns,p99_ns
btree,256,6144,L1,200000,7,40,57
btree,1024,24576,L1,200000,7,48,71
btree,4096,98304,L2,200000,7,57,80
btree,16384,393216,L2,200000,7,67,88
btree,65536,1572864,LLC,200000,7,89,170
btree,262144,6291456,LLC,200000,7,202,591
btree,1048576,25165824,DRAM,200000,7,332,734
sorted,256,4096,L1,200000,7,9,10
sorted,1024,16384,L1,200000,7,11,14
sorted,4096,65536,L2,200000,7,14,16
sorted,16384,262144,L2,200000,7,18,21
sorted,65536,1048576,L2,200000,7,29,38
sorted,262144,4194304,LLC,200000,7,45,71
sorted,1048576,16777216,DRAM,200000,7,104,556
rev,256,4096,L1,200000,7,95,175
rev,1024,16384,L1,200000,7,339,658
rev,4096,65536,L2,200000,7,1333,2677
rev,16384,262144,L2,122070,7,5271,10415
flat,256,131088,L2,200000,7,12,17
flat,1024,131088,L2,200000,7,12,16
flat,4096,327792,L2,200000,7,12,17
flat,16384,1114608,L2,200000,7,13,20
flat,65536,4261872,LLC,200000,7,12,16
flat,262144,16850928,DRAM,200000,7,12,18
flat,1048576,67207152,DRAM,200000,7,14,21
