book,schedule,consumers,target_rate_eps,achieved_rate_eps,samples,clock_overhead_ns,e2e_p50_ns,e2e_p99_ns,e2e_p999_ns,e2e_max_ns,producer_mev_s,overrun_rate,saturated
btree,real,1,304,305,13765,7,5227,128767,131071,131327,0.0003,0.000000,false
btree,real,2,304,305,27530,7,5587,129215,138111,139135,0.0003,0.000000,false
btree,real,4,304,305,55060,7,2901,153855,164863,166143,0.0003,0.000000,false
btree,fixed,1,1000000,1000009,100000,7,125,90495,857087,948223,1.0000,0.000000,false
btree,fixed,1,2000000,2000013,100000,7,126,2457,79231,124223,2.0000,0.000000,false
btree,fixed,1,5000000,5000030,100000,7,118,1864,9207,14119,5.0000,0.000000,false
btree,fixed,1,10000000,10000043,100000,7,129,4495,11487,13255,10.0000,0.000000,false
btree,fixed,1,20000000,19999556,100000,7,14095,46623,49663,50975,19.9996,0.000000,false
btree,fixed,1,50000000,20790708,100000,7,1378303,2785279,2807807,2811903,20.7907,0.000000,true
btree,fixed,1,100000000,20596991,100000,7,1940479,3819519,3852287,3856383,20.5970,0.000000,true
btree,fixed,2,1000000,1000008,200000,7,130,186,15807,108223,1.0000,0.000000,false
btree,fixed,2,2000000,2000017,200000,7,126,184,2010,15199,2.0000,0.000000,false
btree,fixed,2,5000000,5000008,200000,7,126,204,9263,15879,5.0000,0.000000,false
btree,fixed,2,10000000,10000011,200000,7,140,487,10207,14631,10.0000,0.000000,false
btree,fixed,2,20000000,17100729,200000,7,405503,837631,845823,847871,17.1007,0.000000,true
btree,fixed,2,50000000,16973960,200000,7,1935359,3854335,3889151,3893247,16.9740,0.000000,true
btree,fixed,2,100000000,16983168,200000,7,2437119,4841471,4886527,4890623,16.9832,0.000000,true
btree,fixed,4,1000000,1000009,400000,7,115,227,2473,18495,1.0000,0.000000,false
btree,fixed,4,2000000,2000018,400000,7,108,181,2113,15991,2.0000,0.000000,false
btree,fixed,4,5000000,5000031,400000,7,116,238,7171,19871,5.0000,0.000000,false
btree,fixed,4,10000000,10000010,400000,7,115,3719,78591,111103,10.0000,0.000000,false
btree,fixed,4,20000000,12780588,400000,7,1417215,2797567,2822143,2826239,12.7806,0.000000,true
btree,fixed,4,50000000,12834728,400000,7,2904063,5738495,5787647,5791743,12.8347,0.000000,true
btree,fixed,4,100000000,12735104,400000,7,3428351,6787071,6848511,6852607,12.7351,0.000000,true
