impl,corpus,events,runs,total_ns_median,events_per_sec,ns_per_event
btree,steady,100000,31,2218466,45076192,22.18
sorted,steady,100000,31,1304363,76665775,13.04
rev,steady,100000,31,1504587,66463422,15.05
btree,burst,100000,31,2143683,46648688,21.44
sorted,burst,100000,31,1329413,75221169,13.29
rev,burst,100000,31,1508273,66300995,15.08
btree,flashcrash,100000,31,1921118,52053023,19.21
sorted,flashcrash,100000,31,1312976,76162854,13.13
rev,flashcrash,100000,31,1349136,74121512,13.49
btree,btcusdt-sample,13765,31,596875,23061780,43.36
sorted,btcusdt-sample,13765,31,865838,15897893,62.90
rev,btcusdt-sample,13765,31,3056894,4502937,222.08
